time,water_level
10/18/1996 0:00,5709.87
10/19/1996 0:00,5709.44
10/20/1996 0:00,5708.9
10/21/1996 0:00,5708.35
10/22/1996 0:00,5707.79
10/23/1996 0:00,5707.24
10/24/1996 0:00,5706.67
10/25/1996 0:00,5706.16
10/26/1996 0:00,5705.63
10/28/1996 0:00,5704.43
10/29/1996 0:00,5703.85
10/30/1996 0:00,5703.93
10/31/1996 0:00,5703.99
11/1/1996 0:00,5704.03
11/3/1996 0:00,5704.13
11/4/1996 0:00,5704.17
11/5/1996 0:00,5704.15
11/6/1996 0:00,5704.11
11/7/1996 0:00,5704.05
11/8/1996 0:00,5704.01
11/10/1996 0:00,5703.93
11/11/1996 0:00,5703.89
11/12/1996 0:00,5703.85
11/13/1996 0:00,5703.81
11/14/1996 0:00,5703.77
11/15/1996 0:00,5703.73
11/16/1996 0:00,5703.69
11/17/1996 0:00,5703.71
11/18/1996 0:00,5705.51
11/19/1996 0:00,5704.9
11/20/1996 0:00,5703.21
11/21/1996 0:00,5703.19
11/22/1996 0:00,5703.51
11/23/1996 0:00,5703.81
11/24/1996 0:00,5703.73
11/28/1996 0:00,5703.64
12/1/1996 0:00,5703.61
12/2/1996 0:00,5703.67
12/3/1996 0:00,5703.64
12/10/1996 0:00,5704.17
12/23/1996 0:00,5703.35
12/24/1996 0:00,5703.35
12/25/1996 0:00,5703.33
12/26/1996 0:00,5703.33
12/31/1996 0:00,5707.99
1/1/1997 0:00,5715.69
1/4/1997 0:00,5743.12
1/5/1997 0:00,5740.99
1/10/1997 0:00,5728.09
1/20/1997 0:00,5703.4
1/21/1997 0:00,5703.36
1/27/1997 0:00,5705.54
1/28/1997 0:00,5703.79
2/1/1997 0:00,5703.52
2/5/1997 0:00,5703.54
2/6/1997 0:00,5703.38
2/7/1997 0:00,5703.22
2/8/1997 0:00,5703.06
2/11/1997 0:00,5702.55
2/15/1997 0:00,5702.34
2/16/1997 0:00,5702.46
2/17/1997 0:00,5702.62
2/18/1997 0:00,5702.8
2/19/1997 0:00,5702.9
2/20/1997 0:00,5703.03
2/21/1997 0:00,5703.14
2/22/1997 0:00,5703.26
2/23/1997 0:00,5703.36
2/24/1997 0:00,5703.39
2/26/1997 0:00,5703.54
2/27/1997 0:00,5703.65
3/1/1997 0:00,5703.56
3/3/1997 0:00,5703.12
3/5/1997 0:00,5703.14
3/6/1997 0:00,5703.2
3/10/1997 0:00,5703.62
3/13/1997 0:00,5703.68
3/14/1997 0:00,5703.36
3/19/1997 0:00,5703.68
3/24/1997 0:00,5708.38
3/27/1997 0:00,5707.66
3/28/1997 0:00,5707.26
3/29/1997 0:00,5706.59
3/30/1997 0:00,5705.76
4/5/1997 0:00,5703.26
4/6/1997 0:00,5703.16
4/18/1997 0:00,5707.72
4/20/1997 0:00,5711.36
4/21/1997 0:00,5713.16
4/26/1997 0:00,5719.03
4/27/1997 0:00,5719.54
4/29/1997 0:00,5720.74
4/30/1997 0:00,5721.04
5/1/1997 0:00,5721.24
5/2/1997 0:00,5721.38
5/3/1997 0:00,5721.5
5/5/1997 0:00,5721.98
5/6/1997 0:00,5722.24
5/8/1997 0:00,5723
5/9/1997 0:00,5723.67
5/10/1997 0:00,5724.44
5/11/1997 0:00,5725.26
5/12/1997 0:00,5726.08
5/13/1997 0:00,5726.94
5/14/1997 0:00,5727.7
5/15/1997 0:00,5728.38
5/16/1997 0:00,5729.04
5/17/1997 0:00,5729.62
5/18/1997 0:00,5730.2
5/19/1997 0:00,5730.78
5/21/1997 0:00,5731.72
5/22/1997 0:00,5732.02
5/23/1997 0:00,5732.22
5/24/1997 0:00,5732.34
5/25/1997 0:00,5732.3
5/26/1997 0:00,5732.2
5/27/1997 0:00,5732.2
5/28/1997 0:00,5732.3
5/29/1997 0:00,5732.46
5/30/1997 0:00,5732.66
5/31/1997 0:00,5732.93
6/1/1997 0:00,5733.28
6/2/1997 0:00,5733.59
6/3/1997 0:00,5733.8
6/4/1997 0:00,5734.22
6/5/1997 0:00,5734.94
6/6/1997 0:00,5735.23
6/7/1997 0:00,5735.46
6/8/1997 0:00,5735.68
6/9/1997 0:00,5735.96
6/11/1997 0:00,5736.42
6/12/1997 0:00,5736.64
6/13/1997 0:00,5736.84
6/14/1997 0:00,5737.08
6/15/1997 0:00,5737.35
6/16/1997 0:00,5737.6
6/17/1997 0:00,5737.83
